"Column Name","Label"
"S2401_C01_008M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C01_008MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C01_009E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C01_009M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C01_009MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C01_009EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C01_010E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C01_010M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C01_010MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C01_010EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C01_011E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C01_011M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C01_011MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C01_011EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C01_012E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C01_012M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C01_012MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C01_012EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C01_013E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
"S2401_C01_013M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
"S2401_C01_013MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
"S2401_C01_013EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
"S2401_C01_014E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
"S2401_C01_014M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
"S2401_C01_014MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
"S2401_C01_014EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
"S2401_C01_015E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
"S2401_C01_015M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
"S2401_C01_015MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
"S2401_C01_015EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
"S2401_C01_016E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C01_016M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C01_016MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C01_016EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
"S2401_C01_017E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
"S2401_C01_017M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
"S2401_C01_017MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
"S2401_C01_017EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
"S2401_C01_018E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:"
"S2401_C01_018EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:"
"S2401_C01_018M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:"
"S2401_C01_018MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:"
"S2401_C01_019E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations"
"S2401_C01_019M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations"
"S2401_C01_019MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations"
"S2401_C01_019EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations"
"S2401_C01_020E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:"
"S2401_C01_020M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:"
"S2401_C01_020MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:"
"S2401_C01_020EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:"
"S2401_C01_021E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
"S2401_C01_021EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
"S2401_C01_021M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
"S2401_C01_021MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
"S2401_C01_022E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors"
"S2401_C01_022M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors"
"S2401_C01_022MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors"
"S2401_C01_022EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors"
"S2401_C01_023E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations"
"S2401_C01_023M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations"
"S2401_C01_023MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations"
"S2401_C01_023EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations"
"S2401_C01_024E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations"
"S2401_C01_024EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations"
"S2401_C01_024M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations"
"S2401_C01_024MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations"
"S2401_C01_025E","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations"
"S2401_C01_025EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations"
"S2401_C01_025M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations"
"S2401_C01_025MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations"
"S2401_C01_026E","Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:"
"S2401_C01_026M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:"
"S2401_C01_026MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:"
"S2401_C01_026EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:"
"S2401_C01_027E","Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations"
"S2401_C01_027EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations"
"S2401_C01_027M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations"
"S2401_C01_027MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations"
"S2401_C01_028E","Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations"
"S2401_C01_028M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations"
"S2401_C01_028MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations"
"S2401_C01_028EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations"
"S2401_C01_029E","Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
"S2401_C01_029EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
"S2401_C01_029M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
"S2401_C01_029MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
"S2401_C01_030E","Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
"S2401_C01_030M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
"S2401_C01_030MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
"S2401_C01_030EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
"S2401_C01_031E","Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
"S2401_C01_031M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
"S2401_C01_031MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
"S2401_C01_031EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
"S2401_C01_032E","Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
"S2401_C01_032M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
"S2401_C01_032MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
"S2401_C01_032EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
"S2401_C01_033E","Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
"S2401_C01_033EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
"S2401_C01_033M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
"S2401_C01_033MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
"S2401_C01_034E","Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
"S2401_C01_034M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
"S2401_C01_034MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
"S2401_C01_034EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
"S2401_C01_035E","Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
"S2401_C01_035M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
"S2401_C01_035MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
"S2401_C01_035EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
"S2401_C01_036E","Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
"S2401_C01_036M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
"S2401_C01_036MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
"S2401_C01_036EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
"S2401_C02_001E","Estimate!!Male!!Civilian employed population 16 years and over"
"S2401_C02_001EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over"
"S2401_C02_001M","Margin of Error!!Male!!Civilian employed population 16 years and over"
"S2401_C02_001MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over"
"S2401_C02_002E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C02_002EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C02_002M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C02_002MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C02_003E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C02_003EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C02_003M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C02_003MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C02_004E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C02_004M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C02_004MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C02_004EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C02_005E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C02_005M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C02_005MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C02_005EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C02_006E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C02_006M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C02_006MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C02_006EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C02_007E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C02_007EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C02_007M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C02_007MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C02_008E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C02_008EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C02_008M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C02_008MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C02_009E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C02_009M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C02_009MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C02_009EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
"S2401_C02_010E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C02_010M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C02_010MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C02_010EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
"S2401_C02_011E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C02_011M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C02_011MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C02_011EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
"S2401_C02_012E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C02_012EA","Annotation of Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C02_012M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C02_012MA","Annotation of Margin of Error!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
"S2401_C02_013E","Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
